Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Precipitation intensity (mm/h),Air temperature (degC)
2016,5,2,09:30,UTC,1,,0,14.3
2016,5,2,09:40,UTC,1,,0,14.3
2016,5,2,09:50,UTC,1,,0,14.2
2016,5,2,10:00,UTC,1,0,0,14.3
2016,5,2,10:10,UTC,1,,0,14.3
2016,5,2,10:20,UTC,1,,0,14.1
2016,5,2,10:30,UTC,0,,0,14.5
2016,5,2,10:40,UTC,0,,0,14.7
2016,5,2,10:50,UTC,0,,0,15.1
2016,5,2,11:00,UTC,0,0,0,15
2016,5,2,11:10,UTC,0,,0,15.1
2016,5,2,11:20,UTC,0,,0,14.8
2016,5,2,11:30,UTC,0,,0,15
2016,5,2,11:40,UTC,0,,0,15.2
2016,5,2,11:50,UTC,0,,0,14.8
2016,5,2,12:00,UTC,0,0,0,14.8
2016,5,2,12:10,UTC,0,,0,15.1
2016,5,2,12:20,UTC,0,,0,15
2016,5,2,12:30,UTC,0,,0,14.9
2016,5,2,12:40,UTC,0,,0,14.6
2016,5,2,12:50,UTC,0,,0,14.8
2016,5,2,13:00,UTC,0,0,0,14.5
2016,5,2,13:10,UTC,0,,0,15
2016,5,2,13:20,UTC,0,,0,14.5
2016,5,2,13:30,UTC,0,,0,14.3
2016,5,2,13:40,UTC,0,,0,14.7
2016,5,2,13:50,UTC,0,,0,14.8
2016,5,2,14:00,UTC,0,0,0,14.9
2016,5,2,14:10,UTC,0,,0,14.8
2016,5,2,14:20,UTC,0,,0,15
2016,5,2,14:30,UTC,0,,0,15.3
2016,5,2,14:40,UTC,0,,0,15.2
2016,5,2,14:50,UTC,0,,0,15.5
2016,5,2,15:00,UTC,0,0,0,15.5
2016,5,2,15:10,UTC,0,,0,15.7
2016,5,2,15:20,UTC,0,,0,15.4
2016,5,2,15:30,UTC,0,,0,15.7
2016,5,2,15:40,UTC,0,,0,15.6
2016,5,2,15:50,UTC,0,,0,15.1
2016,5,2,16:00,UTC,0,0,0,15.3
2016,5,2,16:10,UTC,0,,0,15.5
2016,5,2,16:20,UTC,0,,0,15.5
2016,5,2,16:30,UTC,0,,0,15.1
2016,5,2,16:40,UTC,0,,0,13.1
2016,5,2,16:50,UTC,0,,0,12.8
2016,5,2,17:00,UTC,0,0,0,12.6
2016,5,2,17:10,UTC,0,,0,12.6
2016,5,2,17:20,UTC,0,,0,12.4
2016,5,2,17:30,UTC,0,,0,12.3
2016,5,2,17:40,UTC,0,,0,12.5
2016,5,2,17:50,UTC,0,,0,12.3
2016,5,2,18:00,UTC,0,0,0,11.8
2016,5,2,18:10,UTC,0,,0,11.7
2016,5,2,18:20,UTC,0,,0,11.6
2016,5,2,18:30,UTC,0,,0,11.3
2016,5,2,18:40,UTC,0,,0,11.4
2016,5,2,18:50,UTC,0,,0,11.4
2016,5,2,19:00,UTC,0,0,0,10.9
2016,5,2,19:10,UTC,0,,0,11
2016,5,2,19:20,UTC,0,,0,10.3
2016,5,2,19:30,UTC,0,,0,10.5
2016,5,2,19:40,UTC,0,,0,10.6
2016,5,2,19:50,UTC,0,,0,10.8
2016,5,2,20:00,UTC,0,0,0,9.8
2016,5,2,20:10,UTC,0,,0,9.5
2016,5,2,20:20,UTC,0,,0,9.1
2016,5,2,20:30,UTC,0,,0,9.2
2016,5,2,20:40,UTC,0,,0,9.1
2016,5,2,20:50,UTC,0,,0,8.8
2016,5,2,21:00,UTC,0,0,0,8.4
2016,5,2,21:10,UTC,0,,0,8.4
2016,5,2,21:20,UTC,0,,0,8.5
2016,5,2,21:30,UTC,0,,0,8.2
2016,5,2,21:40,UTC,0,,0,8
2016,5,2,21:50,UTC,0,,0,7.9
2016,5,2,22:00,UTC,0,0,0,7.7
2016,5,2,22:10,UTC,1,,0,7.3
2016,5,2,22:20,UTC,1,,0,7.2
2016,5,2,22:30,UTC,1,,0,7.2
2016,5,2,22:40,UTC,1,,0,7
2016,5,2,22:50,UTC,1,,0,7.1
2016,5,2,23:00,UTC,1,0,0,7
2016,5,2,23:10,UTC,3,,0,6.9
2016,5,2,23:20,UTC,5,,0,6.8
2016,5,2,23:30,UTC,3,,0,6.9
2016,5,2,23:40,UTC,3,,0,6.8
2016,5,2,23:50,UTC,1,,0,6.5
2016,5,3,00:00,UTC,1,0,0,6.5
2016,5,3,00:10,UTC,1,,0,6.4
2016,5,3,00:20,UTC,1,,0,6.5
2016,5,3,00:30,UTC,3,,0,6.3
2016,5,3,00:40,UTC,5,,0,6.2
2016,5,3,00:50,UTC,7,,0,6.2
2016,5,3,01:00,UTC,3,0,0,6.1
2016,5,3,01:10,UTC,1,,0,5.9
2016,5,3,01:20,UTC,0,,0,6
2016,5,3,01:30,UTC,0,,0,5.9
2016,5,3,01:40,UTC,0,,0,5.7
2016,5,3,01:50,UTC,0,,0,5.6
2016,5,3,02:00,UTC,0,0,0,5.7
2016,5,3,02:10,UTC,0,,0,5.7
2016,5,3,02:20,UTC,0,,0,5.3
2016,5,3,02:30,UTC,0,,0,5.2
2016,5,3,02:40,UTC,0,,0,5.3
2016,5,3,02:50,UTC,0,,0,5.5
2016,5,3,03:00,UTC,0,0,0,5.4
2016,5,3,03:10,UTC,0,,0,5.3
2016,5,3,03:20,UTC,0,,0,5.3
2016,5,3,03:30,UTC,0,,0,5.7
2016,5,3,03:40,UTC,0,,0,6.4
2016,5,3,03:50,UTC,0,,0,7.2
2016,5,3,04:00,UTC,0,0,0,8.1
2016,5,3,04:10,UTC,0,,0,8.4
2016,5,3,04:20,UTC,0,,0,9.2
2016,5,3,04:30,UTC,0,,0,10.4
2016,5,3,04:40,UTC,0,,0,10.7
2016,5,3,04:50,UTC,0,,0,11.5
2016,5,3,05:00,UTC,0,0,0,11.8
2016,5,3,05:10,UTC,0,,0,12.9
2016,5,3,05:20,UTC,0,,0,13.3
2016,5,3,05:30,UTC,0,,0,13.7
2016,5,3,05:40,UTC,0,,0,13.3
2016,5,3,05:50,UTC,0,,0,13.7
2016,5,3,06:00,UTC,0,0,0,13.6
2016,5,3,06:10,UTC,0,,0,14
2016,5,3,06:20,UTC,0,,0,13.9
2016,5,3,06:30,UTC,0,,0,13.9
2016,5,3,06:40,UTC,0,,0,13.4
2016,5,3,06:50,UTC,0,,0,13.5
2016,5,3,07:00,UTC,0,0,0,13.6
2016,5,3,07:10,UTC,0,,0,13.4
2016,5,3,07:20,UTC,0,,0,13.1
2016,5,3,07:30,UTC,0,,0,13.1
2016,5,3,07:40,UTC,0,,0,13.4
2016,5,3,07:50,UTC,0,,0,13.4
2016,5,3,08:00,UTC,0,0,0,13.7
2016,5,3,08:10,UTC,0,,0,14
2016,5,3,08:20,UTC,0,,0,14.2
2016,5,3,08:30,UTC,0,,0,14.3
2016,5,3,08:40,UTC,0,,0,14
2016,5,3,08:50,UTC,0,,0,14.6
2016,5,3,09:00,UTC,0,0,0,14.5
2016,5,3,09:10,UTC,0,,0,14.5
2016,5,3,09:20,UTC,0,,0,14.5
2016,5,3,09:30,UTC,0,,0,14.7
2016,5,3,09:40,UTC,0,,0,15.1
2016,5,3,09:50,UTC,0,,0,14.8
2016,5,3,10:00,UTC,0,0,0,14.9
2016,5,3,10:10,UTC,0,,0,15
2016,5,3,10:20,UTC,0,,0,15.1
2016,5,3,10:30,UTC,0,,0,15.4
2016,5,3,10:40,UTC,0,,0,15.4
2016,5,3,10:50,UTC,0,,0,15.3
2016,5,3,11:00,UTC,0,0,0,15.9
2016,5,3,11:10,UTC,0,,0,15.6
2016,5,3,11:20,UTC,0,,0,15.4
2016,5,3,11:30,UTC,0,,0,15.6
2016,5,3,11:40,UTC,0,,0,15.5
2016,5,3,11:50,UTC,0,,0,15.6
2016,5,3,12:00,UTC,0,0,0,15.2
2016,5,3,12:10,UTC,0,,0,14.9
2016,5,3,12:20,UTC,0,,0,15
2016,5,3,12:30,UTC,0,,0,14.5
2016,5,3,12:40,UTC,0,,0,14.6
2016,5,3,12:50,UTC,0,,0,14
2016,5,3,13:00,UTC,0,0,0,13.9
2016,5,3,13:10,UTC,0,,0,13.9
2016,5,3,13:20,UTC,0,,0,13.7
2016,5,3,13:30,UTC,0,,0,13.9
2016,5,3,13:40,UTC,0,,0,14.3
2016,5,3,13:50,UTC,0,,0,14.2
2016,5,3,14:00,UTC,0,0,0,14
2016,5,3,14:10,UTC,0,,0,14.4
2016,5,3,14:20,UTC,0,,0,14.5
2016,5,3,14:30,UTC,0,,0,13.9
2016,5,3,14:40,UTC,0,,0,14
2016,5,3,14:50,UTC,0,,0,13.8
2016,5,3,15:00,UTC,0,0,0,13.7
2016,5,3,15:10,UTC,0,,0,13.6
2016,5,3,15:20,UTC,0,,0,13.7
2016,5,3,15:30,UTC,0,,0,13.6
2016,5,3,15:40,UTC,0,,0,13.9
2016,5,3,15:50,UTC,0,,0,14
2016,5,3,16:00,UTC,0,0,0,14.1
2016,5,3,16:10,UTC,0,,0,13.8
2016,5,3,16:20,UTC,0,,0,13.8
2016,5,3,16:30,UTC,0,,0,13.7
2016,5,3,16:40,UTC,0,,0,13.7
2016,5,3,16:50,UTC,0,,0,13.4
2016,5,3,17:00,UTC,0,0,0,13.4
2016,5,3,17:10,UTC,0,,0,13.1
2016,5,3,17:20,UTC,0,,0,12.9
2016,5,3,17:30,UTC,0,,0,12.8
2016,5,3,17:40,UTC,0,,0,12.6
2016,5,3,17:50,UTC,0,,0,12.6
2016,5,3,18:00,UTC,0,0,0,12.1
2016,5,3,18:10,UTC,0,,0,11.8
2016,5,3,18:20,UTC,0,,0,11.7
2016,5,3,18:30,UTC,0,,0,11.5
2016,5,3,18:40,UTC,0,,0,11.8
2016,5,3,18:50,UTC,0,,0,11.5
2016,5,3,19:00,UTC,0,0,0,11.6
2016,5,3,19:10,UTC,0,,0,11.2
2016,5,3,19:20,UTC,0,,0,11.1
2016,5,3,19:30,UTC,0,,0,11.1
2016,5,3,19:40,UTC,0,,0,10.7
2016,5,3,19:50,UTC,0,,0,10.3
2016,5,3,20:00,UTC,0,0,0,10.1
2016,5,3,20:10,UTC,0,,0,9.9
2016,5,3,20:20,UTC,0,,0,9.7
2016,5,3,20:30,UTC,0,,0,9.4
2016,5,3,20:40,UTC,0,,0,9.2
2016,5,3,20:50,UTC,0,,0,9.2
2016,5,3,21:00,UTC,0,0,0,9
2016,5,3,21:10,UTC,0,,0,8.9
2016,5,3,21:20,UTC,0,,0,8.9
2016,5,3,21:30,UTC,0,,0,8.6
2016,5,3,21:40,UTC,0,,0,8.7
2016,5,3,21:50,UTC,0,,0,8.4
2016,5,3,22:00,UTC,0,0,0,8.6
2016,5,3,22:10,UTC,0,,0,8.4
2016,5,3,22:20,UTC,0,,0,8.7
2016,5,3,22:30,UTC,0,,0,8.4
2016,5,3,22:40,UTC,0,,0,8.1
2016,5,3,22:50,UTC,0,,0,8
2016,5,3,23:00,UTC,0,0,0,8
2016,5,3,23:10,UTC,0,,0,7.9
2016,5,3,23:20,UTC,0,,0,7.8
2016,5,3,23:30,UTC,0,,0,7.6
2016,5,3,23:40,UTC,0,,0,7.6
2016,5,3,23:50,UTC,0,,0,7.4
2016,5,4,00:00,UTC,0,0,0,7.5
2016,5,4,00:10,UTC,0,,0,7.3
2016,5,4,00:20,UTC,0,,0,7.1
2016,5,4,00:30,UTC,0,,0,7.1
